2021-02-25 21:38:34-600 INFO  Check if column 5 is Full
2021-02-25 21:38:34-600 INFO  Get number of disks in column 5
2021-02-25 21:38:34-600 INFO  Get number of disks in column 5
2021-02-25 21:38:34-600 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-600 INFO  Print game board
2021-02-25 21:38:34-601 INFO  Check if game is ended
2021-02-25 21:38:34-601 INFO  Check if game is Tie
2021-02-25 21:38:34-601 INFO  Check if column 0 is Full
2021-02-25 21:38:34-601 INFO  Get number of disks in column 0
2021-02-25 21:38:34-601 INFO  Check if a player won the game
2021-02-25 21:38:34-601 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-601 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-601 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-601 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-601 INFO  Set next player turn
2021-02-25 21:38:34-602 INFO  Call playerIntroduce from PlayerGreen class
2021-02-25 21:38:34-602 INFO  Get column number from player GREEN
2021-02-25 21:38:34-602 INFO  Check if column 6 is Full
2021-02-25 21:38:34-602 INFO  Get number of disks in column 6
2021-02-25 21:38:34-602 INFO  Check if column 6 is Full
2021-02-25 21:38:34-602 INFO  Get number of disks in column 6
2021-02-25 21:38:34-602 INFO  Get number of disks in column 6
2021-02-25 21:38:34-602 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-602 INFO  Print game board
2021-02-25 21:38:34-603 INFO  Check if game is ended
2021-02-25 21:38:34-603 INFO  Check if game is Tie
2021-02-25 21:38:34-603 INFO  Check if column 0 is Full
2021-02-25 21:38:34-603 INFO  Get number of disks in column 0
2021-02-25 21:38:34-603 INFO  Check if a player won the game
2021-02-25 21:38:34-603 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-604 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-604 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-604 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-604 INFO  Set next player turn
2021-02-25 21:38:34-604 INFO  Call playerIntroduce from PlayerRed class
2021-02-25 21:38:34-604 INFO  Get column number from player RED
2021-02-25 21:38:34-604 INFO  Check if column 1 is Full
2021-02-25 21:38:34-604 INFO  Get number of disks in column 1
2021-02-25 21:38:34-604 INFO  Check if column 1 is Full
2021-02-25 21:38:34-604 INFO  Get number of disks in column 1
2021-02-25 21:38:34-604 INFO  Get number of disks in column 1
2021-02-25 21:38:34-604 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-604 INFO  Print game board
2021-02-25 21:38:34-605 INFO  Check if game is ended
2021-02-25 21:38:34-605 INFO  Check if game is Tie
2021-02-25 21:38:34-605 INFO  Check if column 0 is Full
2021-02-25 21:38:34-605 INFO  Get number of disks in column 0
2021-02-25 21:38:34-605 INFO  Check if a player won the game
2021-02-25 21:38:34-605 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-605 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-605 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-606 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-606 INFO  Set next player turn
2021-02-25 21:38:34-606 INFO  Call playerIntroduce from PlayerGreen class
2021-02-25 21:38:34-606 INFO  Get column number from player GREEN
2021-02-25 21:38:34-606 INFO  Check if column 2 is Full
2021-02-25 21:38:34-606 INFO  Get number of disks in column 2
2021-02-25 21:38:34-606 INFO  Check if column 2 is Full
2021-02-25 21:38:34-606 INFO  Get number of disks in column 2
2021-02-25 21:38:34-606 INFO  Get number of disks in column 2
2021-02-25 21:38:34-606 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-606 INFO  Print game board
2021-02-25 21:38:34-607 INFO  Check if game is ended
2021-02-25 21:38:34-607 INFO  Check if game is Tie
2021-02-25 21:38:34-607 INFO  Check if column 0 is Full
2021-02-25 21:38:34-607 INFO  Get number of disks in column 0
2021-02-25 21:38:34-607 INFO  Check if a player won the game
2021-02-25 21:38:34-607 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-607 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-607 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-607 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-607 INFO  Set next player turn
2021-02-25 21:38:34-607 INFO  Call playerIntroduce from PlayerRed class
2021-02-25 21:38:34-607 INFO  Get column number from player RED
2021-02-25 21:38:34-607 INFO  Check if column 3 is Full
2021-02-25 21:38:34-608 INFO  Get number of disks in column 3
2021-02-25 21:38:34-608 INFO  Check if column 3 is Full
2021-02-25 21:38:34-608 INFO  Get number of disks in column 3
2021-02-25 21:38:34-608 INFO  Get number of disks in column 3
2021-02-25 21:38:34-608 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-608 INFO  Print game board
2021-02-25 21:38:34-609 INFO  Check if game is ended
2021-02-25 21:38:34-609 INFO  Check if game is Tie
2021-02-25 21:38:34-609 INFO  Check if column 0 is Full
2021-02-25 21:38:34-609 INFO  Get number of disks in column 0
2021-02-25 21:38:34-609 INFO  Check if a player won the game
2021-02-25 21:38:34-609 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-609 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-609 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-609 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-609 INFO  Set next player turn
2021-02-25 21:38:34-609 INFO  Call playerIntroduce from PlayerGreen class
2021-02-25 21:38:34-609 INFO  Get column number from player GREEN
2021-02-25 21:38:34-609 INFO  Check if column 1 is Full
2021-02-25 21:38:34-609 INFO  Get number of disks in column 1
2021-02-25 21:38:34-609 INFO  Check if column 1 is Full
2021-02-25 21:38:34-610 INFO  Get number of disks in column 1
2021-02-25 21:38:34-610 INFO  Get number of disks in column 1
2021-02-25 21:38:34-610 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-610 INFO  Print game board
2021-02-25 21:38:34-611 INFO  Check if game is ended
2021-02-25 21:38:34-611 INFO  Check if game is Tie
2021-02-25 21:38:34-611 INFO  Check if column 0 is Full
2021-02-25 21:38:34-611 INFO  Get number of disks in column 0
2021-02-25 21:38:34-611 INFO  Check if a player won the game
2021-02-25 21:38:34-611 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-611 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-611 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-611 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-611 INFO  Set next player turn
2021-02-25 21:38:34-611 INFO  Call playerIntroduce from PlayerRed class
2021-02-25 21:38:34-611 INFO  Get column number from player RED
2021-02-25 21:38:34-611 INFO  Check if column 2 is Full
2021-02-25 21:38:34-611 INFO  Get number of disks in column 2
2021-02-25 21:38:34-611 INFO  Check if column 2 is Full
2021-02-25 21:38:34-611 INFO  Get number of disks in column 2
2021-02-25 21:38:34-611 INFO  Get number of disks in column 2
2021-02-25 21:38:34-611 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-611 INFO  Print game board
2021-02-25 21:38:34-612 INFO  Check if game is ended
2021-02-25 21:38:34-612 INFO  Check if game is Tie
2021-02-25 21:38:34-612 INFO  Check if column 0 is Full
2021-02-25 21:38:34-612 INFO  Get number of disks in column 0
2021-02-25 21:38:34-612 INFO  Check if a player won the game
2021-02-25 21:38:34-612 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-612 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-612 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-612 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-612 INFO  Set next player turn
2021-02-25 21:38:34-612 INFO  Call playerIntroduce from PlayerGreen class
2021-02-25 21:38:34-613 INFO  Get column number from player GREEN
2021-02-25 21:38:34-613 INFO  Check if column 4 is Full
2021-02-25 21:38:34-613 INFO  Get number of disks in column 4
2021-02-25 21:38:34-613 INFO  Check if column 4 is Full
2021-02-25 21:38:34-613 INFO  Get number of disks in column 4
2021-02-25 21:38:34-613 INFO  Get number of disks in column 4
2021-02-25 21:38:34-613 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-613 INFO  Print game board
2021-02-25 21:38:34-613 INFO  Check if game is ended
2021-02-25 21:38:34-613 INFO  Check if game is Tie
2021-02-25 21:38:34-613 INFO  Check if column 0 is Full
2021-02-25 21:38:34-613 INFO  Get number of disks in column 0
2021-02-25 21:38:34-613 INFO  Check if a player won the game
2021-02-25 21:38:34-614 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-614 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-614 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-614 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-614 INFO  Set next player turn
2021-02-25 21:38:34-614 INFO  Call playerIntroduce from PlayerRed class
2021-02-25 21:38:34-614 INFO  Get column number from player RED
2021-02-25 21:38:34-614 INFO  Check if column 0 is Full
2021-02-25 21:38:34-614 INFO  Get number of disks in column 0
2021-02-25 21:38:34-614 INFO  Check if column 0 is Full
2021-02-25 21:38:34-614 INFO  Get number of disks in column 0
2021-02-25 21:38:34-614 INFO  Get number of disks in column 0
2021-02-25 21:38:34-614 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-614 INFO  Print game board
2021-02-25 21:38:34-615 INFO  Check if game is ended
2021-02-25 21:38:34-615 INFO  Check if game is Tie
2021-02-25 21:38:34-615 INFO  Check if column 0 is Full
2021-02-25 21:38:34-615 INFO  Get number of disks in column 0
2021-02-25 21:38:34-615 INFO  Check if a player won the game
2021-02-25 21:38:34-615 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-615 INFO  Check if 4 disks are in a column line
